learning_rate,images_count_min,num_classes,image_size,conv_num,dense_weights_count,dense_count,loss,accuracy
0.0001,100,2025,32,"[2, 2, 3, 3, 3]",1024,1,[7.857416152954102],[0.0]
0.0001,100,2025,32,"[2, 2, 3, 3, 3]",1024,2,[7.727135181427002],[0.0]
