Wall time,Step,Value
1529700356.7185724,43,0.017906976863741875
1529700363.655881,46,0.01760869473218918
1529700423.6721275,72,0.02222222276031971
1529700476.8143904,95,0.02515789493918419
1529700624.958721,159,0.027610063552856445
1529700645.7139425,168,0.028392856940627098
1529700789.7401822,230,0.030695652589201927
1529700801.2723446,235,0.03072340413928032
1529700849.8668733,256,0.03132812678813934
1529700891.490549,274,0.031897809356451035
1529700972.5437164,309,0.033042069524526596
1529700977.1589205,311,0.033118970692157745
1529700995.60882,319,0.033322885632514954
1529701234.274586,422,0.03594786673784256
1529701324.470463,461,0.037028200924396515
1529701356.8727982,475,0.037663158029317856
1529701500.0543718,537,0.039813779294490814
1529701599.3966105,580,0.04193103313446045
1529701615.4570034,587,0.04229982942342758
1529701726.3879035,635,0.04456692934036255
1529701756.3918793,648,0.045092593878507614
1529701811.9313366,672,0.04593750089406967
1529701911.320446,715,0.04770629480481148
1529701930.028473,723,0.04791148006916046
1529702043.4372299,772,0.050168395042419434
1529702076.0148647,786,0.050852417945861816
1529702115.6785429,803,0.051369864493608475
1529702129.4895146,809,0.051656365394592285
1529702194.108871,837,0.05248506739735603
1529702506.7310703,972,0.05890946462750435
1529702606.4008625,1015,0.061064038425683975
1529702726.8904018,1067,0.06318650394678116
1529702814.7074044,1105,0.06476017832756042
1529702990.0918405,1181,0.06767146289348602
1529703177.2806246,1262,0.07085578143596649
1529703304.4335022,1317,0.07286256551742554
1529703311.368109,1320,0.07295454293489456
1529703343.9316096,1334,0.07344827800989151
1529703353.2146564,1338,0.0736098662018776
1529703464.7781205,1386,0.07524531334638596
1529703480.9034774,1393,0.07553482055664062
1529703582.7378895,1437,0.07688935101032257
1529703651.8172035,1467,0.07788684219121933
1529703783.4898946,1524,0.07965222746133804
1529703850.6928353,1553,0.08049581199884415
1529703887.660691,1569,0.08103250712156296
1529703924.6355228,1585,0.08140063285827637
1529704054.741183,1641,0.08279097825288773
1529704172.8071473,1692,0.08419030904769897
1529704214.328998,1710,0.08471345156431198
1529704235.085773,1719,0.0849214643239975
1529704272.2109468,1735,0.08536599576473236
