Wall time,Step,Value
1529700356.7185724,43,71.80535888671875
1529700363.655881,46,66.73841857910156
1529700423.6721275,72,50.157958984375
1529700476.8143904,95,38.26953887939453
1529700645.7139425,168,23.426301956176758
1529700789.7401822,230,17.15741539001465
1529700801.2723446,235,16.80040168762207
1529700849.8668733,256,14.371186256408691
1529700891.490549,274,13.545124053955078
1529700972.5437164,309,14.214990615844727
1529700977.1589205,311,12.628931999206543
1529700995.60882,319,11.948429107666016
1529701234.274586,422,9.834579467773438
1529701356.8727982,475,8.319597244262695
1529701500.0543718,537,8.02756118774414
1529701599.3966105,580,7.239271640777588
1529701615.4570034,587,6.683658599853516
1529701726.3879035,635,6.332620143890381
1529701756.3918793,648,6.572924613952637
1529701811.9313366,672,6.725765228271484
1529701911.320446,715,6.509683132171631
1529701930.028473,723,5.940298080444336
1529702043.4372299,772,6.0095601081848145
1529702076.0148647,786,5.921935558319092
1529702115.6785429,803,5.931710720062256
1529702129.4895146,809,6.0735931396484375
1529702194.108871,837,6.328392505645752
1529702506.7310703,972,5.061749458312988
1529702606.4008625,1015,5.219489097595215
1529702726.8904018,1067,5.401556968688965
1529702814.7074044,1105,5.362479209899902
1529702990.0918405,1181,5.371656894683838
1529703177.2806246,1262,5.272403717041016
1529703304.4335022,1317,5.088840484619141
1529703311.368109,1320,5.543777942657471
1529703343.9316096,1334,5.196131706237793
1529703353.2146564,1338,5.137535572052002
1529703464.7781205,1386,5.008909702301025
1529703480.9034774,1393,5.137686729431152
1529703582.7378895,1437,4.979409694671631
1529703651.8172035,1467,5.297346115112305
1529703783.4898946,1524,4.978111743927002
1529703850.6928353,1553,5.1753058433532715
1529703887.660691,1569,5.129649639129639
1529703924.6355228,1585,5.024923324584961
1529704054.741183,1641,4.781336784362793
1529704172.8071473,1692,5.151118278503418
1529704235.085773,1719,5.2958526611328125
1529704272.2109468,1735,4.996630668640137
1529704279.1654265,1738,4.875317573547363
1529704380.6520283,1782,4.682884216308594
1529704526.2902436,1845,5.044185638427734
1529704577.021945,1867,4.826899528503418
1529704583.99069,1870,4.656851768493652
1529704602.5280135,1878,4.8533101081848145
1529704695.4146583,1918,4.570882797241211
